Iteration,E,nu,RMSE
654,0.00188125,0.4705,1.15E-08
655,0.00188125,0.48025,1.13E-08
656,0.00188125,0.49,1.11E-08
657,0.002006,0.1,1.79E-08
658,0.002006,0.10975,1.77E-08
659,0.002006,0.1195,1.76E-08
660,0.002006,0.12925,1.74E-08
661,0.002006,0.139,1.72E-08
662,0.002006,0.14875,1.70E-08
663,0.002006,0.1585,1.68E-08
664,0.002006,0.16825,1.66E-08
665,0.002006,0.178,1.64E-08
666,0.002006,0.18775,1.61E-08
667,0.002006,0.1975,1.59E-08
668,0.002006,0.20725,1.57E-08
669,0.002006,0.217,1.55E-08
670,0.002006,0.22675,1.52E-08
671,0.002006,0.2365,1.50E-08
672,0.002006,0.24625,1.48E-08
673,0.002006,0.256,1.45E-08
674,0.002006,0.26575,1.43E-08
675,0.002006,0.2755,1.40E-08
676,0.002006,0.28525,1.37E-08
677,0.002006,0.295,1.35E-08
678,0.002006,0.30475,1.32E-08
679,0.002006,0.3145,1.30E-08
680,0.002006,0.32425,1.27E-08
681,0.002006,0.334,1.24E-08
682,0.002006,0.34375,1.21E-08
683,0.002006,0.3535,1.19E-08
684,0.002006,0.36325,1.16E-08
685,0.002006,0.373,1.13E-08
686,0.002006,0.38275,1.10E-08
687,0.002006,0.3925,1.08E-08
688,0.002006,0.40225,1.05E-08
689,0.002006,0.412,1.02E-08
690,0.002006,0.42175,9.92E-09
691,0.002006,0.4315,9.64E-09
692,0.002006,0.44125,9.36E-09
693,0.002006,0.451,9.08E-09
694,0.002006,0.46075,8.81E-09
695,0.002006,0.4705,8.54E-09
696,0.002006,0.48025,8.29E-09
697,0.002006,0.49,8.08E-09
698,0.00213075,0.1,1.55E-08
699,0.00213075,0.10975,1.54E-08
700,0.00213075,0.1195,1.52E-08
701,0.00213075,0.12925,1.50E-08
702,0.00213075,0.139,1.48E-08
703,0.00213075,0.14875,1.45E-08
704,0.00213075,0.1585,1.43E-08
705,0.00213075,0.16825,1.41E-08
706,0.00213075,0.178,1.39E-08
707,0.00213075,0.18775,1.37E-08
708,0.00213075,0.1975,1.34E-08
709,0.00213075,0.20725,1.32E-08
710,0.00213075,0.217,1.29E-08
711,0.00213075,0.22675,1.27E-08
